# Superapp — matriz de cobertura método × motor
# manifiesto: 690 símbolos · motores corridos: sqlite,postgres · gate: estricto
# Estados: PASS=invocado · MISSING=in-scope sin invocar · FAIL=assert/fuga rojo.
# Los motores fuera de -engines aparecen MISSING en todas las filas y NO entran en el gate.
# La primera fila '!! engine-run' es la salud por motor, no un símbolo.

MÉTODO                                                             sqlite   postgres  mysql    mariadb  mssql    oracle
!! engine-run (health: funcional + fugas)                          PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Array[T]).Scan                      PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).AcquireMigrationLock        PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).AddForeignKey               PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).ApplyPlan                   PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Backfill                    PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).BeginTx                     PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).BlockedPanicCleanups        PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Close                       PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).CreateIndex                 PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).DeferredCommitFailures      PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Dialect                     PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).DisableAuditLog             PASS     PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).EnableAuditLog              PASS     PASS      MISSING  MISSING  MISSING  MISSING
