# Superapp — matriz de cobertura método × motor
# manifiesto: 690 símbolos · motores corridos: sqlite,postgres · gate: estricto
# Estados: PASS=invocado · MISSING=in-scope sin invocar · FAIL=assert/fuga rojo.
# Los motores fuera de -engines aparecen MISSING en todas las filas y NO entran en el gate.
# La primera fila '!! engine-run' es la salud por motor, no un símbolo.

MÉTODO                                                             sqlite  postgres  mysql    mariadb  mssql    oracle
!! engine-run (health: funcional + fugas)                          PASS    FAIL      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Array[T]).Scan                      PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).AcquireMigrationLock        PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).AddForeignKey               PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).ApplyPlan                   PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Backfill                    PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).BeginTx                     PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).BlockedPanicCleanups        PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Close                       PASS    PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).CreateIndex                 PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).DeferredCommitFailures      PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Dialect                     PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).DisableAuditLog             PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).EnableAuditLog              PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Exec                        PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).GetClient                   PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).IntrospectSchema            PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Migrate                     PASS    PASS      MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).MigrateRegistered           PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).PlanMigration               PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).PlanMigrationRegistered     PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Raw                         PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).RawQuery                    PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).RegisterModel               PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).RegisteredModels            PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Sync                        PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Tx                          PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).UseEventBus                 PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Validate                    PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).WithOptions                 PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Close                    PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Err                      PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Next                     PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Scan                     PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*JSON[T]).Scan                       PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*JoinBuilder[T]).On                  PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*JoinBuilder[T]).OnRaw               PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*ListenerFactory).CreateListener     PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*LoggerEventBus).Publish             PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*OTelEventBus).Publish               PASS    MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).AllowUnbounded            PASS    MISSING   MISSING  MISSING  MISSING  MISSING
