# Superapp — matriz de cobertura método × motor
# manifiesto: 690 símbolos · motores corridos: mssql · gate: estricto
# Estados: PASS=invocado · MISSING=in-scope sin invocar · FAIL=assert/fuga rojo.
# Los motores fuera de -engines aparecen MISSING en todas las filas y NO entran en el gate.
# La primera fila '!! engine-run' es la salud por motor, no un símbolo.

MÉTODO                                                             sqlite   postgres  mysql    mariadb  mssql  oracle
!! engine-run (health: funcional + fugas)                          MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Array[T]).Scan                      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).AcquireMigrationLock        MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).AddForeignKey               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).ApplyPlan                   MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Backfill                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).BeginTx                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).BlockedPanicCleanups        MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Close                       MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).CreateIndex                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).DeferredCommitFailures      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Dialect                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).DisableAuditLog             MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).EnableAuditLog              MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Exec                        MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).GetClient                   MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).IntrospectSchema            MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Migrate                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).MigrateRegistered           MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).PlanMigration               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).PlanMigrationRegistered     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Raw                         MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).RawQuery                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).RegisterModel               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).RegisteredModels            MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Sync                        MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Tx                          MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).UseEventBus                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).Validate                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Client).WithOptions                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Close                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Err                      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Next                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Scan                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*JSON[T]).Scan                       MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*JoinBuilder[T]).On                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*JoinBuilder[T]).OnRaw               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*ListenerFactory).CreateListener     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*LoggerEventBus).Publish             MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*OTelEventBus).Publish               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).AllowUnbounded            MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Apply                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).AsSubquery                MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Avg                       MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Cache                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Count                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Create                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).CreateBatch               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Cursor                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Delete                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).DeleteBatch               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).DeleteBy                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Distinct                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Except                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).ExceptAll                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Find                      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).First                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).ForShare                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).ForUpdate                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).GroupBy                   MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).HardDelete                MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Having                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).HavingAggregate           MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).HavingExpr                MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Intersect                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).IntersectAll              MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Iter                      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Join                      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).LeftJoin                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Limit                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).List                      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Max                       MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Min                       MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).MustAsSubquery            MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).NoWait                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Offset                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).OnlyTrashed               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Or                        MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).OrderBy                   MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Paginate                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Preload                   MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Restore                   MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).RightJoin                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Select                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).SelectExpr                MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).SkipLocked                MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Sum                       MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Track                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Union                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).UnionAll                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Unscoped                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Update                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).UpdateBatch               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).UpdateFields              MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).UpdateMap                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Upsert                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).UpsertBatch               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).Where                     MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WhereBetween              MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WhereExpr                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WhereIn                   MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WhereJSON                 MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WhereNot                  MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WhereP                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WhereSubquery             MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).With                      MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WithRecursive             MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Query[T]).WithTrashed               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*ShardRouter).GetClient              MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*ShardRouter).ShardNames             MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*Subquery).SQL                       MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*TenantRouter).ActiveTenants         MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*TenantRouter).GetClient             MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*TenantRouter).ResolveTenant         MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*TenantRouter).Tx                    MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*TrackedQuery[T]).Find               MISSING  MISSING   MISSING  MISSING  PASS   MISSING
github.com/jcsvwinston/quark.(*TrackedQuery[T]).First              MISSING  MISSING   MISSING  MISSING  PASS   MISSING
