# Superapp — matriz de cobertura método × motor
# manifiesto: 746 símbolos · motores corridos: sqlite · gate: estricto
# Estados: PASS=invocado · MISSING=in-scope sin invocar · FAIL=assert/fuga rojo.
# Los motores fuera de -engines aparecen MISSING en todas las filas y NO entran en el gate.
# La primera fila '!! engine-run' es la salud por motor, no un símbolo.

MÉTODO                                                             sqlite   postgres  mysql    mariadb  mssql    oracle
!! engine-run (health: funcional + fugas)                          FAIL     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Array[T]).Scan                      MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*CaseBuilder).Else                   MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*CaseBuilder).ToSQL                  MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*CaseBuilder).When                   MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).AcquireMigrationLock        MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).AddForeignKey               MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).ApplyPlan                   MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Backfill                    MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).BeginTx                     MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).BlockedPanicCleanups        MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Close                       PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).CreateIndex                 MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).DeferredCommitFailures      MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Dialect                     MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).DisableAuditLog             MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).EnableAuditLog              MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Exec                        MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).GetClient                   MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).IntrospectSchema            MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Migrate                     PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).MigrateRegistered           MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).PlanMigration               MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).PlanMigrationRegistered     MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Raw                         MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).RawQuery                    MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).RegisterModel               MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).RegisteredModels            MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Sync                        MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Tx                          PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).UseEventBus                 MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).Validate                    MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Client).WithOptions                 MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Close                    MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Err                      MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Next                     MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Cursor[T]).Scan                     MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*JSON[T]).Scan                       MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*JoinBuilder[T]).On                  PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*JoinBuilder[T]).OnRaw               PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*ListenerFactory).CreateListener     MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*LoggerEventBus).Publish             MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*OTelEventBus).Publish               MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).AllowUnbounded            MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Apply                     PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).AsSubquery                PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Avg                       PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Cache                     PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Count                     PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Create                    PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).CreateBatch               MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Cursor                    PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Delete                    PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).DeleteBatch               MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).DeleteBy                  MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Distinct                  PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Except                    MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).ExceptAll                 MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Find                      PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).First                     PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).ForShare                  MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).ForUpdate                 MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).FromCTE                   PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).GroupBy                   PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).HardDelete                MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Having                    PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).HavingAggregate           PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).HavingExpr                PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Intersect                 MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).IntersectAll              MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Iter                      PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Join                      PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).LeftJoin                  PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Limit                     PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).List                      PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Max                       PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Min                       PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).MustAsSubquery            PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).NoWait                    MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Offset                    PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).OnlyTrashed               MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Or                        PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).OrderBy                   PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Paginate                  PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Preload                   PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Restore                   MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).RightJoin                 PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Select                    PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).SelectExpr                PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).SkipLocked                MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Sum                       PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Track                     PASS     MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).Union                     MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
github.com/jcsvwinston/quark.(*Query[T]).UnionAll                  MISSING  MISSING   MISSING  MISSING  MISSING  MISSING
